N00035492,Thom_Tillis,NCS1
N00027509,Scott_Tipton,CO03
N00030191,Dina_Titus,NV01
N00030196,Paul_Tonko,NY20
N00001489,Pat_Toomey,PAS1
N00036107,Norma_Torres,CA35
N00035607,Dave_Trott,MI11
N00029026,Niki_Tsongas,MA03
N00025175,Michael_R_Turner,OH10
N00006561,Tom_Udall,NMS2
N00004133,Fred_Upton,MI06
N00033367,David_Valadao,CA21
N00013820,Chris_Van_Hollen,MD08
N00007021,Juan_Vargas,CA51
N00033839,Marc_Veasey,TX33
N00034349,Filemon_Vela,TX34
N00001102,Nydia_M_Velazquez,NY07
N00003813,Pete_Visclosky,IN01
N00009659,David_Vitter,LAS2
N00033106,Ann_L_Wagner,MO02
N00026368,Tim_Walberg,MI07
N00007690,Greg_Walden,OR02
N00035311,Mark_Walker,NC06
N00031226,Jackie_Walorski,IN02
N00035391,Mimi_Walters,CA45
N00027467,Timothy_J_Walz,MN01
N00002097,Mark_Warner,VAS2
N00033492,Elizabeth_Warren,MAS1
N00006690,Maxine_Waters,CA43
N00033539,Randy_Weber,TX14
N00026335,Daniel_Webster,FL10
N00000515,Peter_Welch,VT01
N00033310,Brad_Wenstrup,OH02
N00035527,Bruce_Westerman,AR04
N00026163,Lynn_A_Westmoreland,GA03
N00027533,Sheldon_Whitehouse,RIS1
N00003467,Ed_Whitfield,KY01
N00003280,Roger_Wicker,MSS2
N00030602,Roger_Williams,TX25
N00030650,Frederica_Wilson,FL24
N00024809,Joe_Wilson,SC02
N00029459,Rob_Wittman,VA01
N00031857,Steve_Womack,AR03
N00032416,Rob_Woodall,GA07
N00007724,Ron_Wyden,ORS2
N00028073,John_A_Yarmuth,KY03
N00031502,Kevin_Yoder,KS03
N00033220,Ted_Yoho,FL03
N00035509,David_Young,IA03
N00007999,Don_Young,AK01
N00030670,Todd_Young,IN09
N00029404,Lee_Zeldin,NY01
N00035616,Ryan_K_Zinke,MT01
