C001071,87.2,27,181,2.1,9,12,5.8,44.12,48.18,44.09,50.60,96.69,
C001072,94.4,37,858,3.0,8,35,3.9,59.24,49.59,56.72,47.85,95.28,
C001075,94.5,72,414,3.6,7,26,5.3,55.21,54.52,48.44,49.88,94.33,
C001076,93.6,75,422,5.0,7,27,5.4,53.99,54.94,48.59,50.02,92.13,
C001077,93.1,44,731,0.8,7,38,4.9,62.13,50.57,54.35,49.30,98.74,
C001078,93.2,67,1112,0.4,7,48,4.1,77.41,53.81,61.46,48.14,99.37,
C001080,96.2,26,1142,4.4,7,44,3.8,62.58,48.04,62.02,47.70,93.07,
C001081,77.0,6,199,0.9,6,13,6.3,43.14,45.22,44.43,51.32,98.58,
C001082,95.8,8,256,1.6,5,21,8.0,45.67,45.51,45.49,53.79,97.48,
C001083,92.5,62,378,2.8,5,22,5.0,52.87,53.11,47.77,49.44,95.59,
C001084,96.7,50,1042,1.8,5,36,3.3,68.33,51.42,60.16,46.98,97.17,
C001085,95.1,26,245,0.6,5,12,4.4,45.56,48.04,45.28,48.57,99.06,
C001086,93.5,9,147,0.9,5,19,12.2,48.94,45.65,43.46,59.87,98.58,
C001087,94.9,37,492,3.9,5,32,6.0,50.46,49.59,49.89,50.89,93.86,
C001088,95.8,66,678,1.8,6,25,3.4,61.53,53.67,53.36,47.12,97.17,
C001089,97.8,0,5,0.0,4,0,0.0,32.37,44.38,40.85,42.20,100.00,
C001090,96.3,92,1001,1.2,3,26,2.4,100.00,63.81,68.73,45.68,98.11,
C001091,96.2,17,160,4.4,3,19,10.7,47.74,47.97,45.19,57.70,93.07,
C001092,94.9,20,429,1.7,3,33,7.3,58.72,48.60,52.72,52.77,97.32,
C001093,95.6,28,262,3.0,3,11,3.8,47.72,50.29,48.05,47.70,95.28,
C001094,95.4,24,348,0.8,3,26,7.0,57.55,49.45,50.45,52.34,98.74,
C001095,95.1,17,389,0.8,3,14,3.4,51.73,47.97,51.60,47.12,98.74,
C001096,94.3,11,578,4.2,3,34,5.8,55.97,46.70,56.89,50.60,93.39,
C001097,95.1,33,577,5.5,3,31,5.1,59.90,51.35,56.86,49.59,91.34,
C001098,82.2,53,180,16.8,3,5,2.1,32.91,55.57,45.75,45.24,73.54,
C001101,96.2,12,477,2.7,3,8,1.6,48.65,46.91,54.06,44.52,95.75,
C001102,92.3,12,117,7.0,2,8,6.2,43.76,49.45,47.26,51.18,88.98,
C001103,96.4,8,185,0.4,1,2,1.0,48.30,47.76,51.07,43.65,99.37,
C001105,92.0,3,152,1.5,1,9,5.8,47.76,45.65,49.22,50.60,97.64,
C001106,86.5,3,207,1.0,1,8,3.8,49.65,45.65,52.30,47.70,98.43,
C001107,83.0,10,174,2.1,1,7,3.8,49.59,48.60,50.45,47.70,96.69,
D000096,95.4,27,625,6.7,19,25,3.8,45.84,48.18,52.38,47.70,89.45,
D000191,90.9,67,888,4.2,29,33,3.5,64.04,53.81,57.28,47.27,93.39,
D000197,96.6,34,539,3.0,19,19,3.3,48.98,49.17,50.77,46.98,95.28,
D000216,97.0,90,742,2.7,25,28,3.4,67.08,57.05,54.56,47.12,95.75,
D000327,93.0,4,81,5.1,39,8,9.4,38.74,44.94,42.22,55.81,91.97,
D000355,93.2,7,275,6.6,61,23,8.2,40.22,45.37,45.84,54.08,89.61,
D000399,94.6,38,483,2.1,21,38,7.3,55.22,49.73,49.73,52.77,96.69,
D000482,94.7,13,499,4.4,21,31,6.1,46.20,46.21,50.02,51.03,93.07,
D000492,93.6,7,48,1.2,35,12,21.8,58.99,45.37,41.61,73.78,98.11,
D000533,85.5,23,680,0.9,28,35,5.0,56.15,47.62,53.40,49.44,98.58,
D000563,96.4,125,630,0.5,33,21,2.8,74.06,61.98,52.47,46.25,99.21,
D000595,77.1,31,83,3.7,17,2,1.8,36.45,48.74,42.26,44.81,94.17,
D000598,95.9,54,630,1.2,15,37,5.4,61.50,51.98,52.47,50.02,98.11,
D000600,90.9,7,374,5.1,13,41,10.8,46.90,45.37,47.69,57.84,91.97,
D000604,88.5,38,403,0.2,11,32,7.3,55.99,49.73,48.23,52.77,99.69,
D000607,72.5,28,259,3.7,9,22,7.7,46.10,48.32,45.55,53.35,94.17,
D000610,96.3,48,736,5.3,6,46,5.9,57.39,51.14,54.45,50.75,91.65,
D000612,93.5,38,361,1.4,5,44,11.0,58.33,49.73,47.45,58.13,97.80,
D000613,82.0,44,360,1.7,5,23,5.7,51.29,50.57,47.43,50.46,97.32,
D000614,94.3,48,371,2.8,5,23,5.5,50.40,51.14,47.64,50.17,95.59,
D000615,91.9,26,762,1.3,5,27,3.4,56.13,48.04,54.93,47.12,97.95,
D000616,94.3,14,481,5.4,5,29,5.9,44.57,46.35,49.69,50.75,91.50,
D000617,94.7,21,548,0.4,4,19,3.3,60.32,48.81,56.05,46.98,99.37,
D000618,93.4,41,298,0.7,3,22,6.5,60.32,53.04,49.05,51.61,98.90,
D000619,91.5,26,535,2.4,3,27,4.8,60.38,49.87,55.69,49.15,96.22,
D000620,92.9,18,424,1.9,3,14,3.2,51.49,48.18,52.58,46.83,97.01,
D000621,94.9,18,262,1.0,3,20,7.1,51.76,48.18,48.05,52.48,98.43,
D000622,92.8,17,388,7.4,3,21,5.2,45.40,47.97,51.57,49.73,88.35,
D000623,98.5,6,270,1.3,1,5,1.8,53.41,46.91,55.83,44.81,97.95,
D000624,98.3,4,130,3.4,1,2,1.5,39.92,46.07,47.99,44.37,94.65,
D000625,88.3,3,69,4.3,1,4,5.6,39.00,45.65,44.58,50.31,93.23,
E000172,90.7,12,158,3.9,19,16,9.4,43.05,46.07,43.66,55.81,93.86,
E000179,95.0,66,626,6.7,27,50,7.2,57.80,53.67,52.39,52.63,89.45,
E000215,95.3,21,807,3.2,23,46,5.6,56.53,47.34,55.77,50.31,94.96,
E000285,90.1,58,518,2.3,19,16,2.8,53.56,52.55,50.38,46.25,96.38,
E000288,94.8,85,1280,6.4,9,35,2.6,74.23,56.35,64.60,45.97,89.92,
E000290,94.8,27,676,2.3,8,27,3.8,52.87,48.18,53.33,47.70,96.38,
E000291,95.4,48,632,2.8,5,35,5.1,57.25,51.14,52.51,49.59,95.59,
E000292,88.9,7,428,2.8,3,22,5.1,49.61,45.86,52.69,49.59,95.59,
E000293,95.3,28,554,1.3,3,27,4.6,63.31,50.29,56.22,48.86,97.95,
E000294,93.1,9,152,0.6,1,2,1.2,46.68,48.18,49.22,43.94,99.06,
E000295,94.6,7,79,0.0,1,1,1.2,41.83,47.34,45.13,43.94,100.00,
F000010,N/A,14,208,N/A,27,13,5.9,5.25,46.35,44.59,50.75,N/A,
F000030,94.7,13,883,2.6,23,41,4.6,56.47,46.21,57.19,48.86,95.91,
F000043,95.7,35,531,4.3,21,25,4.4,48.63,49.31,50.62,48.57,93.23,
F000062,94.7,209,531,3.8,24,23,3.1,84.46,73.80,50.62,46.69,94.02,
F000116,94.3,59,598,47.5,23,18,2.7,10.71,52.69,51.87,46.11,38.28,
F000339,92.9,30,286,4.4,35,13,4.1,42.24,48.60,46.05,48.14,93.07,
F000372,91.5,22,291,3.8,21,26,8.3,46.35,47.48,46.14,54.22,94.02,
F000444,87.8,67,342,3.8,15,12,2.9,48.69,53.81,47.09,46.40,94.02,
F000445,95.3,26,597,1.6,15,32,5.1,53.45,48.04,51.85,49.59,97.48,
F000448,93.4,31,849,2.8,13,37,4.2,58.46,48.74,56.55,48.28,95.59,
F000449,91.1,44,417,3.2,11,25,5.4,50.06,50.57,48.49,50.02,94.96,
F000450,94.1,28,241,0.2,11,13,4.8,46.70,48.32,45.21,49.15,99.69,
F000451,84.3,71,670,1.3,11,37,5.0,65.55,54.38,53.21,49.44,97.95,
F000454,92.4,25,310,0.9,8,17,5.1,47.18,47.90,46.50,49.59,98.58,
F000455,94.9,41,651,3.3,8,27,3.9,53.72,50.15,52.86,47.85,94.80,
F000456,95.0,30,442,0.7,7,20,4.2,50.00,48.60,48.96,48.28,98.90,
F000457,96.3,92,836,0.7,7,17,1.8,71.04,57.33,56.31,44.81,98.90,
F000458,95.7,40,456,5.6,5,28,5.6,47.61,50.01,49.22,50.31,91.18,
F000459,96.1,14,349,1.5,5,23,6.3,46.85,46.35,47.22,51.32,97.64,
F000460,95.2,31,753,0.8,5,55,7.0,63.06,48.74,54.76,52.34,98.74,
F000461,96.3,31,603,2.4,5,38,6.0,54.74,48.74,51.96,50.89,96.22,
F000462,96.8,10,451,2.2,3,22,4.8,51.94,46.49,53.34,49.15,96.54,
F000463,95.0,41,236,0.0,3,12,4.3,55.54,53.04,47.32,48.43,100.00,
G000021,94.2,16,182,8.4,29,27,13.6,43.44,46.63,44.11,61.90,86.77,
G000289,94.4,37,445,1.0,23,29,6.0,53.77,49.59,49.02,50.89,98.43,
G000359,85.8,29,360,11.6,21,13,3.3,34.25,48.46,47.43,46.98,81.73,
G000377,94.4,12,302,4.2,19,38,12.1,48.66,46.07,46.35,59.73,93.39,
G000386,89.8,94,454,0.0,41,21,3.8,64.65,57.61,49.18,47.70,100.00,
G000410,83.4,50,659,3.4,23,49,6.9,60.15,51.42,53.01,52.19,94.65,
G000535,94.8,8,621,16.7,23,20,3.2,30.26,45.51,52.30,46.83,73.70,
G000544,88.1,8,171,4.6,17,15,8.4,40.77,45.51,43.90,54.37,92.76,
G000546,95.7,71,475,5.6,15,42,7.7,57.07,54.38,49.58,53.35,91.18,
G000548,91.9,53,320,1.6,13,23,6.2,52.98,51.84,46.68,51.18,97.48,
G000549,88.9,74,393,1.9,13,35,7.5,61.02,54.80,48.05,53.06,97.01,
G000550,94.7,40,359,7.7,13,19,4.8,42.22,50.01,47.41,49.15,87.87,
G000551,93.7,87,1821,6.8,13,48,2.5,89.30,56.63,74.69,45.82,89.29,
G000552,90.2,25,479,6.2,11,35,6.9,46.42,47.90,49.65,52.19,90.24,
G000553,93.1,37,478,3.8,11,33,6.4,50.81,49.59,49.63,51.47,94.02,
G000555,95.8,157,875,0.7,9,21,2.0,86.43,66.48,57.04,45.10,98.90,
G000556,94.0,150,410,3.5,7,18,3.2,68.94,65.50,48.36,46.83,94.49,
G000558,96.2,39,562,0.8,7,29,4.8,56.09,49.87,51.20,49.15,98.74,
G000559,92.7,22,740,3.3,7,45,5.9,55.12,47.48,54.52,50.75,94.80,
G000560,92.7,10,316,1.3,6,16,4.9,44.23,45.79,46.61,49.30,97.95,
G000562,94.5,50,441,1.7,5,30,6.1,55.48,51.42,48.94,51.03,97.32,
G000563,96.4,10,487,0.7,5,28,5.6,49.30,45.79,49.80,50.31,98.90,
G000564,75.3,44,646,0.8,5,61,8.8,65.46,50.57,52.77,54.95,98.74,
G000565,92.9,72,702,8.1,5,39,5.0,55.76,54.52,53.81,49.44,87.24,
G000566,94.4,12,363,2.4,5,25,6.7,46.20,46.07,47.49,51.90,96.22,
G000567,96.1,38,684,1.5,5,51,7.1,61.62,49.73,53.48,52.48,97.64,
G000568,90.0,38,360,1.1,5,22,5.5,50.66,49.73,47.43,50.17,98.27,
G000569,89.4,49,533,4.2,5,57,9.8,59.34,51.28,50.66,56.39,93.39,
G000570,95.4,22,255,2.2,5,13,4.7,43.57,47.48,45.47,49.01,96.54,
G000571,93.3,18,353,2.6,3,18,4.9,49.88,48.18,50.59,49.30,95.91,
G000572,80.8,8,163,1.8,3,14,8.2,46.05,46.07,45.27,54.08,97.17,
G000573,87.0,11,201,3.6,3,21,9.9,47.68,46.70,46.34,56.54,94.33,
G000574,98.9,6,132,0.6,1,3,2.2,45.07,46.91,48.10,45.39,99.06,
G000575,84.3,6,85,0.1,1,4,4.4,45.09,46.91,45.47,48.57,99.84,
G000576,94.2,6,201,1.1,1,3,1.4,47.96,46.91,51.96,44.23,98.27,
G000577,95.9,6,53,0.4,1,2,3.4,41.63,46.91,43.68,47.12,99.37,
H000067,94.6,26,349,4.3,35,37,9.9,49.36,48.04,47.22,56.54,93.23,
H000206,94.9,99,359,2.7,41,18,3.9,58.83,58.32,47.41,47.85,95.75,
H000324,95.5,39,1307,4.8,23,45,3.3,68.70,49.87,65.10,46.98,92.44,
H000329,94.1,42,147,4.3,21,12,6.3,43.73,50.29,43.46,51.32,93.23,
H000338,88.5,138,398,4.2,39,15,2.8,64.30,63.81,48.14,46.25,93.39,
H000528,96.0,22,170,4.8,29,15,7.8,42.08,47.48,43.88,53.50,92.44,
H000627,93.5,13,414,22.4,23,19,4.4,21.27,46.21,48.44,48.57,64.73,
H000636,91.7,28,666,15.6,19,41,5.9,38.62,48.32,53.14,50.75,75.43,
H000712,76.3,2,210,9.6,23,15,7.1,33.31,44.66,44.63,52.48,84.88,
H000874,95.5,6,130,3.9,35,16,11.8,44.12,45.22,43.14,59.29,93.86,
H001016,87.6,26,157,7.1,23,3,1.6,32.98,48.04,43.64,44.52,88.82,
H001032,94.5,60,845,6.3,17,33,3.6,58.08,52.83,56.48,47.41,90.08,
H001034,94.8,91,1420,5.2,15,45,3.0,82.03,57.19,67.21,46.54,91.81,
H001036,95.6,5,395,0.4,13,25,6.2,47.58,45.08,48.08,51.18,99.37,
H001038,95.8,36,671,3.1,11,46,6.5,57.37,49.45,53.23,51.61,95.12,
H001041,80.6,121,510,3.5,9,15,2.4,64.37,61.41,50.23,45.68,94.49,
H001042,96.4,75,724,10.2,9,26,3.3,51.16,54.94,54.22,46.98,83.94,
H001045,94.7,33,523,1.4,7,38,6.8,55.67,49.03,50.47,52.05,97.80,
H001046,92.4,45,567,4.1,7,22,3.6,50.46,50.72,51.29,47.41,93.54,
H001047,92.5,31,606,0.9,7,27,4.2,54.58,48.74,52.02,48.28,98.58,
H001048,95.2,58,504,3.0,7,51,9.1,61.34,52.55,50.12,55.38,95.28,
H001049,89.7,138,260,1.1,7,12,3.0,65.64,63.81,45.56,46.54,98.27,
H001050,95.4,14,378,5.6,5,24,6.1,42.39,46.35,47.77,51.03,91.18,
H001051,86.9,32,787,4.9,5,65,7.9,59.00,48.88,55.40,53.64,92.28,
H001052,92.2,24,571,1.1,5,23,3.9,51.31,47.76,51.37,47.85,98.27,
H001053,96.0,16,613,2.9,5,42,6.7,52.03,46.63,52.15,51.90,95.43,
H001054,88.2,8,155,0.8,5,22,13.5,50.65,45.51,43.60,61.75,98.74,
H001055,91.1,44,505,1.1,5,29,5.3,55.79,50.57,50.14,49.88,98.27,
H001056,90.4,14,302,13.3,5,27,8.5,34.30,46.35,46.35,54.51,79.06,
H001057,90.1,40,506,0.8,5,16,2.9,51.90,50.01,50.15,46.40,98.74,
H001058,94.2,43,596,2.0,5,31,4.9,56.14,50.43,51.83,49.30,96.85,
H001059,94.7,35,542,0.9,5,35,6.1,56.42,49.31,50.83,51.03,98.58,
H001060,95.1,21,274,2.2,5,21,7.1,46.42,47.34,45.83,52.48,96.54,
H001061,87.0,44,341,0.4,5,10,2.6,48.71,50.57,47.08,45.97,99.37,
H001062,82.5,17,103,0.2,5,17,14.2,53.10,46.77,42.63,62.77,99.69,
H001063,96.1,38,645,2.4,5,36,5.3,56.41,49.73,52.75,49.88,96.22,
H001064,95.9,12,369,2.3,3,17,4.5,48.88,46.91,51.04,48.72,96.38,
H001065,96.2,11,214,1.0,3,22,9.8,51.43,46.70,46.70,56.39,98.43,
H001066,95.4,12,191,15.6,3,11,5.4,28.51,46.91,46.06,50.02,75.43,
H001067,95.2,19,307,5.3,3,28,8.6,49.50,48.39,49.31,54.66,91.65,
H001068,95.5,30,788,2.4,3,27,3.3,70.28,50.72,62.77,46.98,96.22,
