hr1-112,h85-2011,112,2011-02-17T23:54:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll085.xml,232_197_4_0,227_12_1_0,5_185_3_0,None
hr1-112,h86-2011,112,2011-02-17T23:57:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll086.xml,250_177_6_0,231_7_2_0,19_170_4_0,None
hr1-112,h87-2011,112,2011-02-18T00:01:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll087.xml,249_179_4_1,236_1_2_1,13_178_2_0,None
hr1-112,h88-2011,112,2011-02-18T00:04:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll088.xml,160_270_3_0,6_233_1_0,154_37_2_0,None
hr1-112,h89-2011,112,2011-02-18T00:07:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll089.xml,163_265_5_0,2_235_3_0,161_30_2_0,None
hr1-112,h90-2011,112,2011-02-18T18:58:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll090.xml,148_281_4_0,30_209_1_0,118_72_3_0,None
hr1-112,h91-2011,112,2011-02-18T19:07:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll091.xml,98_331_4_0,7_232_1_0,91_99_3_0,None
hr1-112,h92-2011,112,2011-02-18T19:10:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll092.xml,289_136_7_1,231_4_5_0,58_132_2_1,None
hr1-112,h93-2011,112,2011-02-18T19:13:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll093.xml,240_185_7_1,230_7_2_1,10_178_5_0,None
hr1-112,h94-2011,112,2011-02-18T19:17:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll094.xml,243_185_5_0,230_9_1_0,13_176_4_0,None
hr1-112,h95-2011,112,2011-02-18T19:20:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll095.xml,196_231_6_0,32_206_2_0,164_25_4_0,None
hr1-112,h96-2011,112,2011-02-18T19:23:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll096.xml,249_177_7_0,236_2_2_0,13_175_5_0,None
hr1-112,h97-2011,112,2011-02-18T19:26:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll097.xml,239_187_7_0,236_2_2_0,3_185_5_0,None
hr1-112,h98-2011,112,2011-02-18T19:29:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll098.xml,241_187_5_0,238_0_2_0,3_187_3_0,None
hr1-112,h99-2011,112,2011-02-18T19:32:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll099.xml,237_191_5_0,234_4_2_0,3_187_3_0,None
hr1-112,h100-2011,112,2011-02-18T19:35:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll100.xml,246_182_5_0,238_0_2_0,8_182_3_0,None
hr1-112,h101-2011,112,2011-02-18T19:40:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll101.xml,183_246_4_0,75_164_1_0,108_82_3_0,None
hr1-112,h102-2011,112,2011-02-18T19:43:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll102.xml,123_306_4_0,12_227_1_0,111_79_3_0,None
hr1-112,h103-2011,112,2011-02-18T19:46:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll103.xml,147_281_5_0,147_92_1_0,0_189_4_0,None
hr1-112,h104-2011,112,2011-02-19T01:56:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll104.xml,156_269_8_0,13_224_3_0,143_45_5_0,None
hr1-112,h105-2011,112,2011-02-19T02:00:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll105.xml,68_357_8_0,22_215_3_0,46_142_5_0,None
hr1-112,h106-2011,112,2011-02-19T02:03:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll106.xml,74_348_11_0,60_175_5_0,14_173_6_0,None
hr1-112,h107-2011,112,2011-02-19T02:06:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll107.xml,177_243_13_0,171_63_6_0,6_180_7_0,None
hr1-112,h108-2011,112,2011-02-19T02:09:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll108.xml,87_338_8_0,3_234_3_0,84_104_5_0,None
hr1-112,h109-2011,112,2011-02-19T02:13:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll109.xml,174_251_8_0,11_226_3_0,163_25_5_0,None
