K000210,89.1,74,838,2.2,23,69,7.6
K000220,93.3,31,353,7.1,23,23,6.0
K000305,93.2,38,89,3.4,27,5,3.9
K000336,89.3,17,330,5.5,19,6,1.7
K000352,90.3,9,109,1.1,29,4,3.4
K000360,79.8,97,506,27.1,15,23,3.8
K000362,94.3,50,469,4.0,13,21,4.0
K000363,96.3,27,649,0.2,13,43,6.4
K000367,94.7,187,793,0.3,9,30,3.1
K000368,89.2,26,532,5.9,7,24,4.3
K000369,71.9,24,299,1.2,7,15,4.6
K000375,94.3,15,683,2.6,5,27,3.9
K000376,94.0,35,689,0.3,5,38,5.2
K000378,92.4,28,545,1.3,5,37,6.5
K000379,96.3,10,348,4.2,3,18,5.0
K000380,96.7,19,298,1.8,3,16,5.0
K000381,94.6,38,591,0.8,3,27,4.3
K000382,94.1,16,648,1.1,3,22,3.3
K000383,N/A,26,301,N/A,3,8,2.4
K000384,92.3,26,211,0.5,3,6,2.5
K000385,97.6,26,351,4.8,3,9,2.4
K000386,83.4,17,168,0.4,1,8,4.3
K000387,95.5,6,100,1.7,1,5,4.7
K000388,96.1,1,47,6.2,1,1,2.1
L000111,92.1,31,487,0.8,21,31,6.0
L000123,95.0,82,255,24.3,34,7,2.1
L000174,95.7,101,487,0.9,41,17,2.9
L000261,94.9,103,198,0.2,37,15,5.0
L000263,96.3,21,489,0.6,33,39,7.6
L000274,94.1,0,76,15.4,37,17,22.4
L000287,95.6,55,863,9.5,29,33,3.6
L000304,N/A,58,153,N/A,27,10,4.7
L000397,92.8,47,1062,4.2,21,43,3.9
L000480,96.4,48,590,1.9,27,43,6.7
L000491,94.2,15,291,1.3,23,23,7.5
L000504,84.5,15,81,0.6,39,5,5.2
L000517,93.4,25,166,0.8,37,22,11.5
L000550,90.5,96,378,2.2,19,23,4.9
L000551,93.4,89,1507,6.3,18,40,2.5
L000553,85.4,15,183,4.2,21,11,5.6
L000554,85.5,28,502,0.1,21,34,6.4
L000557,96.2,34,668,4.2,17,30,4.3
L000559,95.9,42,729,1.8,15,31,4.0
L000560,93.1,36,507,2.3,15,27,5.0
L000562,93.6,35,514,4.6,15,24,4.4
L000563,85.9,33,685,2.9,11,46,6.4
L000564,94.9,36,599,2.3,9,30,4.7
L000565,92.1,30,1022,1.5,9,37,3.5
L000566,97.4,67,746,0.2,9,41,5.0
L000567,91.4,25,588,0.0,7,40,6.5
L000569,96.0,82,617,0.6,7,40,5.7
L000570,94.4,44,606,1.7,7,28,4.3
L000571,90.9,40,594,3.2,7,32,5.0
L000573,89.5,21,321,4.1,5,11,3.2
L000574,92.8,10,166,8.1,5,12,6.8
L000575,95.3,29,444,4.0,5,30,6.3
L000576,95.3,13,732,3.0,5,44,5.9
L000577,78.0,67,369,3.1,5,9,2.1
