Rush, Bobby L (D, Illinois District 1 )
Russell, Steven (R, Oklahoma District 5 )
Ryan, Paul (R, Wisconsin District 1 )
Ryan, Tim (D, Ohio District 13 )
Salmon, Matt (R, Arizona District 5 )
Sanchez, Linda (D, California District 38 )
Sanchez, Loretta (D, California District 46 )
Sanders, Bernie (D, Vermont Senate)
Sanford, Mark (R, South Carolina District 1 )
Sarbanes, John (D, Maryland District 3 )
Sasse, Ben (R, Nebraska Senate)
Scalise, Steve (R, Louisiana District 1 )
Schakowsky, Jan (D, Illinois District 9 )
Schatz, Brian (D, Hawaii Senate)
Schiff, Adam (D, California District 28 )
Schrader, Kurt (D, Oregon District 5 )
Schultz, Debbie Wasserman (D, Florida District 23 )
Schumer, Charles E (D, New York Senate)
Schweikert, David (R, Arizona District 6 )
Scott, Austin (R, Georgia District 8 )
Scott, Bobby (D, Virginia District 3 )
Scott, David (D, Georgia District 13 )
Scott, Tim (R, South Carolina Senate)
Sensenbrenner, F James Jr (R, Wisconsin District 5 )
Serrano, Jose E (D, New York District 15 )
Sessions, Jeff (R, Alabama Senate)
Sessions, Pete (R, Texas District 32 )
Sewell, Terri A (D, Alabama District 7 )
Shaheen, Jeanne (D, New Hampshire Senate)
Shelby, Richard C (R, Alabama Senate)
Sherman, Brad (D, California District 30 )
Shimkus, John M (R, Illinois District 15 )
Shuster, Bill (R, Pennsylvania District 9 )
Simpson, Mike (R, Idaho District 2 )
Sinema, Kyrsten (D, Arizona District 9 )
Sires, Albio (D, New Jersey District 8 )
Slaughter, Louise M (D, New York District 25 )
Smith, Adam (D, Washington District 9 )
Smith, Adrian (R, Nebraska District 3 )
Smith, Chris (R, New Jersey District 4 )
Smith, Jason (R, Missouri District 8 )
Smith, Lamar (R, Texas District 21 )
Speier, Jackie (D, California District 14 )
Stabenow, Debbie (D, Michigan Senate)
Stefanik, Elise (R, New York District 21 )
Stewart, Chris (R, Utah District 2 )
Stivers, Steve (R, Ohio District 15 )
Stutzman, Marlin (R, Indiana District 3 )
Sullivan, Dan (R, Alaska Senate)
Swalwell, Eric (D, California District 15 )
Takai, Mark (D, Hawaii District 1 )
Takano, Mark (D, California District 41 )
Tester, Jon (D, Montana Senate)
Thompson, Bennie G (D, Mississippi District 2 )
Thompson, Glenn (R, Pennsylvania District 5 )
Thompson, Mike (D, California District 5 )
Thornberry, Mac (R, Texas District 13 )
Thune, John (R, South Dakota Senate)
Tiberi, Patrick J (R, Ohio District 12 )
Tillis, Thom (R, North Carolina Senate)
Tipton, Scott (R, Colorado District 3 )
Titus, Dina (D, Nevada District 1 )
Tonko, Paul (D, New York District 20 )
Toomey, Pat (R, Pennsylvania Senate)
Torres, Norma (D, California District 35 )
Trott, Dave (R, Michigan District 11 )
Tsongas, Niki (D, Massachusetts District 3 )
Turner, Michael R (R, Ohio District 10 )
Udall, Tom (D, New Mexico Senate)
Upton, Fred (R, Michigan District 6 )
Valadao, David (R, California District 21 )
Van Hollen, Chris (D, Maryland District 8 )
Vargas, Juan (D, California District 51 )
Veasey, Marc (D, Texas District 33 )
Vela, Filemon (D, Texas District 34 )
Velazquez, Nydia M (D, New York District 7 )
Visclosky, Pete (D, Indiana District 1 )
Vitter, David (R, Louisiana Senate)
Wagner, Ann L (R, Missouri District 2 )
Walberg, Tim (R, Michigan District 7 )
Walden, Greg (R, Oregon District 2 )
Walker, Mark (R, North Carolina District 6 )
Walorski, Jackie (R, Indiana District 2 )
Walters, Mimi (R, California District 45 )
Walz, Timothy J (D, Minnesota District 1 )
Warner, Mark (D, Virginia Senate)
Warren, Elizabeth (D, Massachusetts Senate)
Waters, Maxine (D, California District 43 )
Weber, Randy (R, Texas District 14 )
Webster, Daniel (R, Florida District 10 )
Welch, Peter (D, Vermont District 1 )
Wenstrup, Brad (R, Ohio District 2 )
Westerman, Bruce (R, Arkansas District 4 )
Westmoreland, Lynn A (R, Georgia District 3 )
Whitehouse, Sheldon (D, Rhode Island Senate)
Whitfield, Ed (R, Kentucky District 1 )
Wicker, Roger (R, Mississippi Senate)
Williams, Roger (R, Texas District 25 )
Wilson, Frederica (D, Florida District 24 )
Wilson, Joe (R, South Carolina District 2 )
Wittman, Rob (R, Virginia District 1 )
Womack, Steve (R, Arkansas District 3 )
Woodall, Rob (R, Georgia District 7 )
Wyden, Ron (D, Oregon Senate)
Yarmuth, John A (D, Kentucky District 3 )
Yoder, Kevin (R, Kansas District 3 )
Yoho, Ted (R, Florida District 3 )
Young, David (R, Iowa District 3 )
Young, Don (R, Alaska District 1 )
Young, Todd (R, Indiana District 9 )
Zeldin, Lee (R, New York District 1 )
Zinke, Ryan K (R, Montana District 1 )
